Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,1,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.502445171
1,1,0,0,1,1,0,0,1,0,1,0,0,0.612381013,0.786845294
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26819587,-0.488854258
1,1,0,0,1,0,0,1,1,0,1,0,0,0.392236792,0.420730236
0,0,0,1,0,0,0,1,0,1,0,0,1,0.392236792,-0.486337422
0,0,0,1,0,0,1,0,0,1,0,0,1,-0.478063915,-0.478116429
0,0,0,0,1,0,0,1,0,1,1,0,0,1.786483524,0.395813561
0,3,1,1,0,0,0,1,0,1,0,0,1,-2.029349637,-0.224083121
1,0,2,1,0,0,0,1,1,0,0,0,1,-0.194814463,-0.424256141
1,1,0,1,0,1,0,0,1,0,0,1,0,-1.148772754,-0.042955502
1,1,1,0,1,0,0,1,1,0,0,0,1,-1.882586823,-0.312172378
1,0,0,0,1,0,0,1,1,0,1,0,0,2.080009152,-0.113845709
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.708484312,-0.486337422
0,1,5,1,0,0,0,1,0,1,0,0,1,0.68576242,-0.018709312
0,0,0,1,0,0,0,1,1,0,0,0,1,-1.148772754,-0.490279793
1,0,0,1,0,0,0,1,1,0,0,1,0,1.859864931,-0.326266659
0,4,1,1,0,0,1,0,0,1,0,0,1,-2.029349637,-0.061998889
1,0,0,1,0,0,0,1,0,1,0,1,0,0.178289509,-0.38667072
0,1,0,1,0,0,0,1,1,0,0,0,1,0.098711164,-0.285997284
1,0,0,1,0,1,0,0,1,0,0,0,1,0.008993116,-0.502948539
0,0,0,1,0,0,0,1,0,1,0,1,0,0.392236792,-0.124919787
1,0,0,0,1,0,0,1,0,1,0,1,0,0.318855385,-0.38667072
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.075391347,-0.486756223
1,0,0,0,1,0,0,1,0,1,1,0,0,-0.121433057,0.066359742
0,3,1,1,0,0,0,1,1,0,0,0,1,-1.589061195,-0.224083121
1,1,5,1,0,0,0,1,1,0,0,0,1,0.612381013,-0.016444159
0,0,0,1,0,1,0,0,0,1,0,0,1,0.008993116,-0.502948539
0,3,2,0,1,0,0,1,0,1,1,0,0,-0.781865719,4.647001077
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.556259897,-0.489776426
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.130785677,-0.48944219
0,0,0,1,0,1,0,0,0,1,1,0,0,0.759143827,-0.090272017
1,1,0,0,1,1,0,0,1,0,1,0,0,0.496700117,2.301728821
1,0,0,1,0,0,1,0,1,0,0,0,1,0.433007703,-0.492377828
0,0,0,1,0,0,0,1,0,1,0,1,0,2.667060407,-0.437007438
0,1,0,1,0,1,0,0,0,1,1,0,0,-0.121433057,1.0060617
0,1,0,1,0,0,0,1,0,1,1,0,0,0.905906641,0.39858208
1,0,0,1,0,1,0,0,0,1,0,0,1,-0.500576315,-0.502863973
